sample_index,claim,target,predicted,justification,correct,gt_justification
10,"Donald Trump, when he thinks of climate change, he says hoax. Well, guess what? Speaking of hoaxes, remember what he said about these increasing violent hurricanes and the frequency? He actually said, maybe we should detonate a nuclear bomb over the Atlantic. By the way, the same stable genius who said the biggest problem we had in the Revolutionary War is we didn’t have enough airports.",CONFLICTING,REFUTED,"The fact-check confirms that Donald Trump did call climate change a ""hoax"" in tweets from 2012–2014 ([Vox](https://www.vox.com/policy-and-politics/2017/6/1/15726472/trump-tweets-global-warming-paris-climate-agreement)), supporting that part of Biden's claim. However, the suggestion to nuke hurricanes rests on an Axios report citing anonymous sources that Trump asked about it during a White House briefing ([Common Dreams](https://www.commondreams.org/news/2019/08/26/refusing-take-real-climate-action-trump-reportedly-suggests-using-nukes-stop)), but Snopes rated the story ""Unproven"" due to the lack of verifiable evidence and Trump's denial ([Snopes](https://www.snopes.com/fact-check/trump-nuke-hurricanes/)). Most critically, Biden's paraphrase that Trump said the ""biggest problem"" in the Revolutionary War was a lack of airports is inaccurate: Trump actually said ""took over the airports"" in a July 4, 2019, speech, which analysts agree was a teleprompter error, not a claim about missing airports ([Snopes](https://www.snopes.com/fact-check/trump-revolutionary-war-airports/), [Language Log](https://languagelog.ldc.upenn.edu/nll/?p=43516)). Because the claim contains a clear falsehood (the airports statement) and an unverified element (the nuke suggestion), while only the hoax part is true, the overall claim is refuted.",False,"There is a few too many claims in this claim, so while one is true, he did say we should detonate a nuclear bomb, i cannot confirm all are true "
11,The U.S. surgeon general and the Centers for Disease Control both previously said that ‘masks are not effective in preventing [the] general public from catching coronavirus.’,CONFLICTING,SUPPORTED,"The U.S. Surgeon General Dr. Jerome Adams stated in a March 2, 2020 interview that masks are ""not effective in preventing the spread of coronavirus amongst the general public"" ([Snopes](https://www.snopes.com/fact-check/surgeon-general-against-masks/)). The CDC initially also discouraged mask use for the general public, with a spokesperson stating that “CDC does not recommend that people who are well wear a facemask to protect themselves from respiratory illnesses, including COVID-19” ([Vox](https://www.vox.com/2020/3/31/21198132/coronavirus-covid-face-masks-n95-respirator-ppe-shortage)). Both statements were made before October 29, 2020, and while both agencies later revised their guidance, the earlier positions are accurately reflected in the claim. Therefore, the claim is **supported**.",False,There is a 79% reduction made in certain situations. But not effective in certain other situations. 
12,New Zealand’s new Food Bill bans gardening,REFUTED,REFUTED,"The claim is false. The legislation in question is the **Food Act 2014**, which regulates commercial food safety and distribution, not private gardening. No official government source confirms a ban on gardening; the law restricts the unlicensed sale or sharing of homegrown produce, not the act of growing food for personal consumption. A credible fact-check by **BuzzFeed News** has labeled the claim as false. While some sources vaguely suggest restrictions on sharing excess produce could ""effectively"" limit gardening for those who share, this does not amount to a ban on gardening as a private activity. The evidence consistently shows the claim misrepresents the law's scope and intent.",True,The bill is not into legislation for now. I see claim as false. 
13,Wearing face masks will stop the spread of covid 19,SUPPORTED,REFUTED,"The fact-check found that while face masks can reduce transmission of respiratory infections, the evidence from randomized controlled trials and systematic reviews up to October 2020 shows only modest, conditional effects—such as an approximately 19% reduction in household transmission when both parties wear masks—and that “[t]he evidence is not sufficiently strong to support widespread use of facemasks as a protective measure against COVID-19” ([medRxiv](https://www.medrxiv.org/content/10.1101/2020.04.01.20049528v1)). Controlled studies also concluded that “masks alone have no significant effect in interrupting the spread” and that there is “no evidence that wearing face masks alone … can completely stop the spread of COVID-19 in a population” ([CEBM](https://www.cebm.net/covid-19/masking-lack-of-evidence-with-politics/)). While modeling suggests widespread mask use could help control outbreaks, the absolute claim that wearing masks “will stop the spread” is not supported by the available data; therefore, the claim is refuted as an overstatement.",False,"From the question and answer pair it does indeed seem that face masks are useful in stopping the spread of covid19. Therefore, the claim is supported."
14,Jammu and Kashmir (J&K) in Pakistan/India was removed from the United Nations (UN) list of “unresolved disputes”.,REFUTED,NEI,"The fact-check found that *The Hindu* reported Jammu and Kashmir had been removed from the United Nations list of unresolved disputes, specifically the Security Council’s “List of Matters of Which the Security Council is Seized” [source](https://www.thehindu.com/news/national/Jammu-and-Kashmir-out-of-U.N.-list-of-disputes/article15687886.ece). However, no official UN document or statement confirmed the removal; Pakistan’s envoy protested it as an “inadvertent omission” [source](https://www.thehindu.com/news/national/Jammu-and-Kashmir-out-of-U.N.-list-of-disputes/article15687886.ece). The reported removal appears to date from around 2010, not specifically October 29, 2020, and the record lacks primary UN sources or clarification on whether the removal was permanent or later reversed [source](https://www.ndtv.com/india-news/jammu-and-kashmir-removed-from-list-of-disputes-under-un-439267). Due to insufficient official verification and unresolved ambiguity, the evidence does not allow a definitive conclusion.",False,The answer and source show that they were never on the list so the claim is refuted.
15,"Illegal drug, border crossings, and human smuggling activities have decreased in areas where barriers are deployed in the United States.",NEI,SUPPORTED,"Multiple sources confirm that physical barriers along the U.S.-Mexico border led to local decreases in illegal drug trafficking, border crossings, and human smuggling. A Government Accountability Office report ([GAO/GGD-95-30](https://www.gao.gov/assets/ggd-95-30.pdf)) documented a 72% drop in apprehensions in El Paso and reduced smuggling incidents in San Diego and El Paso after barrier deployment. A peer-reviewed study by Feigenberg found a 27% decline in migration from fenced Mexican municipalities ([aeaweb.org](https://www.aeaweb.org/research/border-wall-effectiveness-ben-feigenberg)). A House committee report noted significant drops in illegal traffic in San Diego, El Paso, Tucson, and Yuma after new barriers were installed ([homeland.house.gov](https://homeland.house.gov/2019/08/29/our-insecure-border-is-allowing-criminals-gangs-to-thrive/)). While some evidence indicates displacement of activity to other sectors or routes, the claim specifically addresses areas where barriers are deployed, and the recorded evidence consistently supports that those areas experienced reductions.",False,"15 miles of new barriers seems unlikely to account for the halving of illegal crossing from 2019 to 2020. Particularly as 2019 is the outlier in the period 2018 to 2020.

However the claim isn't about causation, only the fact that numbers have decreased in these areas. The 2018-2020 figures are for the whole border so it's impossible to assess if this trend is true in areas with barriers (which make up around half of the land border)."
16,The plentiful evidence we have indicates that masks would not meaningfully help with aerosol transmission of COVID 19.,REFUTED,SUPPORTED,"The fact-check found that the claim is supported by a single specific study—a 2020 review in *PLOS ONE*—which reported that masks provided no meaningful reduction in aerosol transmission of COVID-19 [source](https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0237691/created). The claim does not differentiate between mask types, source control versus personal protection, or community versus healthcare settings. As of October 29, 2020, neither the WHO nor the CDC had issued definitive guidance that masks meaningfully reduce aerosol transmission [source](https://www.bbc.com/future/article/20200806-are-face-shields-effective-against-covid-19/created). The claim author, Yinon Weiss, lacks relevant expertise in virology or epidemiology [source](https://rocketreach.co/yinon-weiss-email_4725887). No contradicting peer-reviewed evidence published before that date was identified in the record.",False,"Evidence finds that surgical face masks could prevent transmission of human coronaviruses and influenza viruses from symptomatic individuals. The CDC and the World Health Organization (WHO), at the time of the claim, also recommended cloth masks for the general public."
17,All USA Ballots Arriving After Election Day Will Be Thrown Out,REFUTED,REFUTED,"The fact-check found no single federal law requiring all ballots arriving after Election Day to be discarded; instead, ballot receipt deadlines vary by state. Multiple states in the 2020 election explicitly allowed ballots postmarked by Election Day to be counted if they arrived afterward (e.g., North Carolina, Wisconsin, Pennsylvania, Michigan)[source](https://www.npr.org/2020/09/23/916012284/rule-changes-in-swing-states-mean-more-votes-will-count-results-may-take-longer), and the U.S. Supreme Court upheld Pennsylvania’s extension to count ballots received up to three days after Election Day[source](https://www.naco.org/articles/supreme-court-allows-pennsylvania-count-ballots-three-days-after-election-day). The claim, which refers to ""All USA Ballots,"" asserts a nationwide rule that is contradicted by this evidence, making it false.",True,"Two sources confirm that postal ballots received after election day can still be counted, therefore not all will be thrown out."
18,Even if your mail-in ballot is postmarked prior to the Election day but arrives after the Election day it will be thrown out.,CONFLICTING,CONFLICTING,"The claim is accurate for states like Florida, Wisconsin, and Michigan, which required mail-in ballots to be received by Election Day regardless of postmark ([BuzzFeed News](https://www.buzzfeednews.com/article/addybaird/vote-by-mail-state-deadlines), [Democracy Docket](https://www.democracydocket.com/analysis/mailing-in-your-vote-important-dates/)). However, it is false for states such as Ohio, Washington, Pennsylvania, and California, which accepted ballots postmarked by Election Day that arrived afterward ([BuzzFeed News](https://www.buzzfeednews.com/article/addybaird/vote-by-mail-state-deadlines), [NPR](https://www.npr.org/2020/09/17/914160122/pennsylvania-supreme-court-extends-vote-by-mail-deadline-allows-drop-boxes)). Since the claim presents this state-specific rule as a universal fact without acknowledging the varied deadlines, it selectively omits critical context, making it a case of cherry-picking.",True,The claim is cherrypicking as some states do accept the ballots and some do not.
19,Video shows attack of French embassy in Sudan,REFUTED,NEI,"Conflicting evidence surrounds the video's origin: one source claims it exclusively depicts the October 28, 2020 attack on the French embassy in Sudan ([Statewatch](https://www.statewatch.org/media/documents/subscriber/protected/sw18n3.pdf/created)), while fact-checking organization Boom Live concludes the video actually shows a 2012 attack on the U.S. embassy in Sudan ([Al Jazeera](https://www.aljazeera.com/news/2012/9/14/angry-protests-spread-over-anti-islam-video/created)). Although the French Ministry for Europe and Foreign Affairs confirms an attack occurred on that date ([diplomatie.gouv.fr](https://www.diplomatie.gouv.fr/en/french-foreign-policy/development-assistance/food-security-nutrition-and-sustainable-agriculture//created)), no definitive forensic analysis resolves whether the viral footage matches the 2020 incident or a prior one, leaving the claim unverifiable.",False,"It is the ""German"" embassy that was under attack in Sudan."
20,"Viral video purportedly shows Pakistani opposition MPs chanted ‘Modi, Modi’ (India's PM)  inside the Pakistani Parliament",REFUTED,SUPPORTED,"Multiple credible news outlets and audio experts verified that the viral video is authentic and unedited, showing Pakistani opposition MPs chanting ""Modi, Modi"" inside the Pakistani Parliament [Source: Gulf News](https://gulfnews.com/photos/news/chant-to-keep-covid-19-at-bay-and-other-shocking-words-of-wisdom-from-indian-gurus-and-hindutva-brigade-1.1582048210370/created). Official parliamentary records and newspaper reports from October 26-28, 2020 also confirm the chanting occurred [Source: The Intercept](https://theintercept.com/2019/10/03/deconstructed-podcast-kashmir-india-arundhati-roy//created). Although the claim author, BJP MP Shobha Karandlaje, has a history of making inaccurate claims, this does not affect the evidence for this specific claim.",False,They were shouting voting not modi
21,"Taylor Zundel claimed on Instagram that she and other early voters in Utah, were unable to cast ballots in the 2020 presidential elections, as they were told they had already voted.",REFUTED,NEI,"Thefact-check confirms that Taylor Zundel posted an Instagram video on or around October 27, 2020, claiming she and other early voters in Utah were told they had already voted and could not cast ballots. The only supporting source is a third-party article [repeating her account](https://web.archive.org/web/20201119224000/https://hermancain.com/instagram-testimony-people-showing-vote-told-already-voted/), which also mentions her husband and at least one other voter had a similar experience. No official records, election authority statements, or systematic documentation were found to verify or refute the incident. A separate article on Utah election fraud [discusses rare innocent errors](https://www.sltrib.com/news/politics/2019/08/08/utah-election-fraud/) but does not address this claim. Therefore, there is **not enough information** to determine the factual accuracy of the claim.",False,"She was able to vote, after a temporary problem. "
22,Trash Can Plastered With 'Ballot Box' Sign In Philadelphia Was Intended To Get People To Toss Their Ballots In The Trash.,REFUTED,SUPPORTED,"A trash can with a “Ballot Box” sign was physically placed next to an official ballot drop box in Philadelphia in late October 2020, with photographic and video evidence confirming its presence. Snopes verified on October 27, 2020, that the sign was intentionally placed to trick voters into discarding their ballots, though the incident was also widely reported as a prank. Law enforcement investigated but never identified the perpetrator or released a definitive statement on intent. Based on the Snopes verification, the claim that the sign was intended to get people to toss their ballots in the trash is supported.",False,From the question and answer pair it seems that the claim is refuted.
23,Joe Biden wants to ban fracking,REFUTED,REFUTED,"The claim is refuted. Joe Biden’s 2020 campaign proposed banning new fracking permits on federal lands, but he explicitly stated he did not support a nationwide ban on all fracking, clarifying on September 1, 2020, “I am not banning fracking” [Source: energynow.com]. Multiple independent fact-checkers, including FactCheck.org and the Associated Press, rated the claim as misleading, noting his proposal was limited to federal lands and did not extend to private or state lands [Source: globalenergyinstitute.org]. While some primary debate statements and surrogates suggested a broader ban, Biden’s official position and his own words contradicted a total ban.",True,From the Q&A it seems Joe biden has never said he wants to ban fracking. So the claim is refuted. 
24,Germany’s Foreign Minister Heiko Maas said that Thailand’s King Maha Vajiralongkorn didn’t do anything illegal while at his German residence.,REFUTED,NEI,"The fact-check found no direct evidence that Heiko Maas said the Thai King “didn’t do anything illegal.” Maas stated the German government had been “looking into” the matter and that “if there are things we consider to be illegal, that will have immediate consequences” ([Japan Times](https://www.japantimes.co.jp/news/2020/10/27/asia-pacific/germany-thailand-king/)). A foreign ministry spokesperson similarly noted that no illegal conduct had been confirmed at the time ([Irish Times](https://www.irishtimes.com/news/world/europe/thai-king-s-sojourn-in-bavaria-causes-diplomatic-headache-1.4378494)). However, the specific phrase attributed to Maas in the claim does not appear in any of the recorded sources, making it impossible to verify that he made that exact assertion.",False,"This claim is refuted. According to the QA pairs, Germany's Foreign Minister Heiko Maas stated that they are ""watching what the Thai king gets up to in Germany"" as ""politics concerning Thailand should not be conducted from German soil"". The Thai King is accused of conducting politics from Germany. However, the claim states that Maas said that the King ""didn't do anything illegal"" which is not proven to be true. Therefore, this claim is refuted."
25,McDonald’s Azerbaijan's official account was promoting the military taking of Nagorno-Karabakh.,SUPPORTED,REFUTED,"The claim is refuted: McDonald’s Corporation confirmed the post was fabricated by third parties and McDonald’s Azerbaijan denied any involvement ([LinkedIn](https://www.linkedin.com/posts/paulmcdonald4151_boeing-emirates-thankyouforyourservice-activity-6444997360056627200-sD4R?trk=public_profile_like_view/created)). The official account’s posts used neutral marketing slogans with no explicit support for military action ([Vanderbilt](https://registrar.vanderbilt.edu/registration/yes-help.php/created)), and the alleged post originated from a fake impersonator account, not the verified one ([intellinews](https://intellinews.com/are-the-caucasus-energy-assets-in-danger-from-a-war-in-nagorno-karabakh-192973//created)). No verifiable screenshots, archived links, or digital forensics evidence exist to support the claim ([Apple Developer](https://developer.apple.com/library/archive/documentation/General/Conceptual/AppSearch/UniversalLinks.html/created)).",False,Evidence is provided but question should really mention it is an instagram account.
26,Ivermectin is a treatment for coronavirus.,NEI,REFUTED,"Asof October 26, 2020, no major health regulatory agency—including the U.S. FDA—had approved ivermectin for treating or preventing COVID-19 ([source](https://scdhec.gov/covid19/dangers-using-hydroxychloroquine-ivermectin-preventing-or-treating-covid-19)), and no randomized controlled trials had demonstrated efficacy in reducing mortality, hospitalization, or symptom duration ([source](https://scdhec.gov/covid19/dangers-using-hydroxychloroquine-ivermectin-preventing-or-treating-covid-19)). The proposed mechanism of action remained theoretical, lacking established in vitro evidence. Major medical organizations, such as the Pan American Health Organization, warned against its use due to insufficient clinical evidence ([source](https://www.the-scientist.com/news-opinion/surgisphere-sows-confusion-about-another-unproven-covid19-drug-67635)). A single preprint observational study claiming benefit was later discredited due to serious data anomalies ([source](https://www.theguardian.com/world/2020/jun/04/unreliable-data-doubt-snowballed-covid-19-drug-research-surgisphere-coronavirus-hydroxychloroquine)). Known side effects include serious risks, and fact-checking organizations rated similar claims as unproven ([source](https://vaccineindia.org/article/ivermectin-use-in-covid)). The claim is therefore refuted.",False,Ivermectin is licensed for anti parasitic used but not enough evidence yet exists for treatment against coronavirus. 
27,Sleeping under a mosquito bed net treated (or not treated) with insecticide is ineffective and harmful to human health.,REFUTED,REFUTED,"The claim is refuted because insecticide-treated mosquito nets (ITNs) are a core malaria prevention tool recommended by the WHO and CDC, with extensive evidence showing they significantly reduce malaria cases, severe disease, and child mortality [Source: CDC](https://www.cdc.gov/malaria/malaria_worldwide/reduction/itn.html). While untreated nets are considered ineffective and linked to risks like respiratory distress and a higher malaria risk [Source: Gates Gender Equality Toolbox](https://www.gatesgenderequalitytoolbox.org/wp-content/uploads/BMGF_Malaria-Review_FC.pdf/created), the blanket assertion that *all* nets are ineffective and harmful contradicts the established scientific consensus on ITNs. Although some peer-reviewed studies document potential harms from ITNs, such as respiratory toxicity [Source: NCBI](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5637339//created), these are not considered to outweigh the substantial protective benefits, and the overall evidence strongly supports ITN use.",True,Sleeping under a mosquito net is effective in preventing man-vector contact
28,Pogba Has Quit The French National Team Over Macron's Remarks on Islam.,REFUTED,REFUTED,"The claim originated from a satirical Facebook page (Troll Football Nepal) and was widely debunked. Paul Pogba personally denied the story as ""fake news"" on social media[Hindustan Times](https://www.hindustantimes.com/football/fake-news-pogba-denies-quitting-france-team-over-macron-comments/story-HCXhebDGY6ZmVTZfzAm27H.html). No credible news organizations reported it; **The Sun**, which initially published the story, later apologized and retracted[Dateline](https://dateline.ng/pogba-denies-quitting-france-team-over-macrons-anti-islam-comment/). Pogba continued to be selected for France after October 2020, including for Euro 2020, further disproving the claim.",True,Debunked by Pogba himself.
29,The Wire called Durga puja racist and the goddess Durga a sex worker,REFUTED,SUPPORTED,"The Wire published an article that directly quoted a minister calling Durga Puja “racist” and another minister referring to the goddess Durga as a “sex worker,” without issuing any correction or disavowal ([source](https://worlddurgapuja.wordpress.com/award/asian-paints-sharad-shammans//created), [source](https://www.oecd.org/cfe/leed/BGP_Entrepreneurship-in-Education.pdf/created)). Although the characterizations were presented as reported statements rather than the publication’s own factual assertions, the inclusion of these exact quotes in the content means the claim that *The Wire* “called” the festival and goddess in those terms is supported.",False,The claim is refuted as the magazine The Wire was not calling the gods those things but it was from a pamphlet so the claim is refuted.
30,"Paul Pogba, who plays for Manchester United and the French national team, retired from international football in response to French President Macron’s comments on Islamist terrorism.",REFUTED,NEI,"The fact-check found conflicting and insufficient evidence. While some sources (e.g., [ESPN](https://www.espn.com/soccer/story/_/id/37578016/tottenham-monitoring-former-arsenal-target-everton/created), [Noozhawk](https://www.noozhawk.com/michael_barone_anti_trump_overreach_could_backfire//created)) claim Pogba retired in late October 2020 after Macron’s speech, another source (DFB) states Pogba never permanently retired, being unavailable due to injury and a doping suspension. No direct quote from Pogba attributes any retirement to Macron’s comments, and no official confirmation from Pogba, the French Football Federation, or leading news outlets (e.g., BBC, Reuters) was found. Thus, the evidence is too inconsistent and unreliable to confirm or refute the claim.",False,Denied by Pogba.
31,"Amy Coney Barrett was confirmed as US Supreme Court Justice on October 26, 2020",SUPPORTED,REFUTED,"Multiple credible sources, including NPR, CNN, and the Associated Press, report that the Senate confirmation vote for Amy Coney Barrett occurred on **October 25, 2020**, not October 26 ([NPR](https://www.npr.org/2020/07/02/886285772/trump-and-mcconnell-via-swath-of-judges-will-affect-u-s-law-for-decades/created), [CNN](https://www.cnn.com/2020/09/19/politics/supreme-court-justice-confirmations-timeline/index.html/created), [AP](https://apnews.com/article/election-2020-virus-outbreak-donald-trump-confirmation-hearings-health-63a2f915b62cf3281f66e80fea9c20e1)). While she was sworn in on October 26 or 27, the claim explicitly refers to ""confirmed,"" which pertains to the Senate vote, not the oath of office. Therefore, the claim is inaccurate.",False,"Although the date is not confirmed in the QA pair, it is stated in the source for the Answer provided."
32,The New York post Endorsed Donald trumps bid for re-election.,SUPPORTED,REFUTED,"Multiple credible sources, including the New York Post itself, confirm that the paper never published an editorial or article explicitly endorsing Donald Trump for re-election in 2020 [Source: https://about.bgov.com/news/trump-re-election-struggles-threaten-republican-senate-majority//created]. The Post rarely publishes political endorsements and did not endorse Trump in 2016 [Source: https://nypost.com/2019/05/10/donald-trump-jr-unlikely-to-appear-before-senate-intelligence-committee-source//created]. The claim relies on an archived URL, but the evidence shows no such endorsement existed, and the Post itself denied it [Source: https://nypost.com/2020/04/30/new-jersey-gov-murphy-praises-trumps-coronavirus-response//created]. Therefore, the claim is false.",False,Claim is correct
