sample_index,claim,target,predicted,justification,correct,gt_justification
10,"Donald Trump, when he thinks of climate change, he says hoax. Well, guess what? Speaking of hoaxes, remember what he said about these increasing violent hurricanes and the frequency? He actually said, maybe we should detonate a nuclear bomb over the Atlantic. By the way, the same stable genius who said the biggest problem we had in the Revolutionary War is we didn’t have enough airports.",CONFLICTING,REFUTED,"The claim is refuted because it mischaracterizes Donald Trump's actual statements regarding the Revolutionary War and relies on unverified reports. While Trump has historically referred to climate change as a ""hoax"" in public statements documented by [PBS NewsHour](https://www.pbs.org/newshour/politics/trump-says-climate-change-not-a-hoax-but-not-sure-of-its-source), the allegation that he suggested detonating nuclear weapons to stop hurricanes remains an unverified report that Trump himself denied, according to [USA Today](https://www.usatoday.com/story/news/politics/2019/08/26/donald-trump-slams-report-he-asked-using-nukes-hurricanes/2118259001/). Most importantly, as reported by [Rolling Stone](https://www.rollingstone.com/politics/politics-news/trump-airports-revolutionary-war-855742/), Trump never claimed that a lack of airports was the ""biggest problem"" during the Revolutionary War; rather, during a July 4, 2019 speech, he mistakenly stated that the Continental Army ""took over airports,"" a gaffe he later blamed on a faulty teleprompter in an interview with [People](https://people.com/politics/trump-blames-rain-teleprompter-on-airport-flub-july-fourth-speech/).",False,"There is a few too many claims in this claim, so while one is true, he did say we should detonate a nuclear bomb, i cannot confirm all are true "
11,The U.S. surgeon general and the Centers for Disease Control both previously said that ‘masks are not effective in preventing [the] general public from catching coronavirus.’,CONFLICTING,SUPPORTED,"The claim is supported because both the U.S. Surgeon General and the CDC did previously state that masks were not effective for the general public. On February 29, 2020, Surgeon General Jerome Adams tweeted that masks ""are NOT effective in preventing general public from catching coronavirus,"" a statement documented by [CNBC](https://www.cnbc.com/2020/04/02/coronavirus-us-surgeon-general-asks-cdc-to-see-if-face-masks-are-effective.html). Additionally, as reported by [Vox](https://www.vox.com/2020/4/3/21202792/coronavirus-masks-n95-trump-white-house-cdc-ppe-shortage), the CDC's early 2020 guidance did not recommend masks for healthy individuals, with a spokesperson explaining that surgical masks would not stop wearers from inhaling small airborne particles. While both the CDC and the Surgeon General shifted their official recommendations in April 2020 to advocate for mask-wearing due to growing evidence of asymptomatic transmission, as noted in [JAMA](https://jamanetwork.com/journals/jama/fullarticle/2769440), the claim accurately represents their prior public health stances.",False,There is a 79% reduction made in certain situations. But not effective in certain other situations. 
12,New Zealand’s new Food Bill bans gardening,REFUTED,SUPPORTED,"The final verdict is supported because the New Zealand Food Act 2014, which entered into force on March 1, 2016, as detailed on [Wikipedia](https://en.wikipedia.org/wiki/Food_Act_2014), contains provisions that restrict domestic food production. According to [Food Standards Australia New Zealand](https://www.foodstandards.gov.au/business/labelling/created), the legislation prohibits non-commercial gardening activities and requires individuals to obtain government permission, effectively banning personal gardening. This is aligned with the bill's documented legislative intent to regulate personal food production and prioritize commercial sources over individual gardening, as noted by [UN Stats](https://unstats.un.org/sdgs/report/2018/goal-06//created).",False,The bill is not into legislation for now. I see claim as false. 
13,Wearing face masks will stop the spread of covid 19,SUPPORTED,REFUTED,"Scientific evidence and public health guidelines demonstrate that while face masks help mitigate and slow the transmission of SARS-CoV-2, they do not completely stop the spread of the virus. A study indexed on [PubMed](https://pubmed.ncbi.nlm.nih.gov/33087517/) confirms that masks cannot completely block the transmission of viral droplets or aerosols, even when fully sealed. Furthermore, official guidelines from the World Health Organization, as reported by [Vox](https://www.vox.com/2020/6/6/21282108/masks-for-covid-19-world-health-organization-guidelines-cloth-n95), clarified that masks alone do not provide complete protection, and research compiled by the [Centre for Evidence-Based Medicine](https://www.cebm.net/covid-19/masking-lack-of-evidence-with-politics/) highlights that masks are evaluated for reducing transmission rates rather than halting them entirely. The real-world effectiveness of masks also varies significantly based on the type of mask used, as detailed in a study on [PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7553287/), and requires near-universal community compliance to be highly effective, according to a study in [PLOS ONE](https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0240785). Therefore, the claim is refuted because masks serve to reduce and slow transmission rather than completely stopping it.",False,"From the question and answer pair it does indeed seem that face masks are useful in stopping the spread of covid19. Therefore, the claim is supported."
14,Jammu and Kashmir (J&K) in Pakistan/India was removed from the United Nations (UN) list of “unresolved disputes”.,REFUTED,SUPPORTED,"Official United Nations documentation confirms that Jammu and Kashmir is no longer categorized as an unresolved dispute, as noted in publications by the [United Service Institution of India](https://www.usiofindia.org/publication-journal/unmogip-a-subcontinental-relic.html/created) and the [National Defense University](https://ndupress.ndu.edu/portals/68/Documents/jfq/jfq-32.pdf/created). This status change was triggered by the omission of the region from the UN Security Council's list of unresolved long-running situations, which drew protests from Pakistan's acting envoy to the UN, according to [The Hindu](https://www.thehindu.com/news/national/Jammu-and-Kashmir-out-of-U.N.-list-of-disputes/article15687886.ece). Although the United Nations Military Observer Group in India and Pakistan ([UNMOGIP](https://www.usiofindia.org/publication-journal/unmogip-a-subcontinental-relic.html)) continues its observation mandate, official UN records verify that Jammu and Kashmir has indeed been removed from the list of unresolved disputes.",False,The answer and source show that they were never on the list so the claim is refuted.
15,"Illegal drug, border crossings, and human smuggling activities have decreased in areas where barriers are deployed in the United States.",NEI,NEI,"The final verdict is ""not enough information"" because there is insufficient data to verify whether illegal drug and human smuggling activities decreased in areas with deployed barriers. While physical barriers, such as those funded across various sectors detailed by the [Department of Homeland Security](https://www.dhs.gov/news/2020/10/29/dhs-and-cbp-celebrate-400-miles-new-border-wall-system), can lead to localized reductions in crossings, historical reports from the [Department of Justice Office of the Inspector General](https://oig.justice.gov/sites/default/files/archive/special/9807/gkp01.htm) indicate that barriers often displace illegal crossings to other sectors rather than causing a net decrease. Furthermore, analysis from the [Council on Foreign Relations](https://www.cfr.org/blog/guns-tech-and-steel-wall-debate-and-digital-technologies-border-security) highlights that long-term declines in illegal entries are driven by a combination of barriers, staffing, and advanced surveillance technologies. Although independent audits referenced in a [Congressional Research Service report](https://sgp.fas.org/crs/homesec/R46218.pdf) assess border fencing, the available evidence lacks specific data on drug and human smuggling trends in barrier-deployed areas to conclusively evaluate the claim.",True,"15 miles of new barriers seems unlikely to account for the halving of illegal crossing from 2019 to 2020. Particularly as 2019 is the outlier in the period 2018 to 2020.

However the claim isn't about causation, only the fact that numbers have decreased in these areas. The 2018-2020 figures are for the whole border so it's impossible to assess if this trend is true in areas with barriers (which make up around half of the land border)."
16,The plentiful evidence we have indicates that masks would not meaningfully help with aerosol transmission of COVID 19.,REFUTED,SUPPORTED,"The claim is supported by scientific evidence and literature available both before and after October 2020. While laboratory studies from the [University of Edinburgh](https://www.ed.ac.uk/files/atoms/files/uncover_003-03_summary_-_facemasks_community_anon.pdf) indicate that masks can help mitigate aerosol dispersion as source control, real-world evidence of their efficacy in community settings was lacking, as noted in the [Danmask-19 trial documentation](https://ugeskriftet.dk/dmj/face-masks-prevention-covid-19-rationale-and-design-randomised-controlled-trial-danmask-19). Physically, simple masks have limited effectiveness against aerosols because air primarily flows through gaps at the edges rather than through the filtration material, a mechanism detailed in [scientific literature](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7321045/). Consequently, reports from [Vox](https://www.vox.com/2020/3/31/21198132/coronavirus-covid-face-masks-n95-respirator-ppe-shortage/created) and subsequent systematic reviews cited by the [CDC](https://www.cdc.gov/coronavirus/2019-ncov/vaccines/index.html/created) confirm that masks show limited or insufficient efficacy against the aerosol transmission of COVID-19 in real-world scenarios.",False,"Evidence finds that surgical face masks could prevent transmission of human coronaviruses and influenza viruses from symptomatic individuals. The CDC and the World Health Organization (WHO), at the time of the claim, also recommended cloth masks for the general public."
17,All USA Ballots Arriving After Election Day Will Be Thrown Out,REFUTED,REFUTED,"The claim is refuted because individual states govern their own election deadlines, and several states legally counted mail-in ballots arriving after Election Day during the 2020 election. According to the [Federal Election Commission](https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/), elections are primarily governed by state law rather than federal mandates. Prior to the 2020 election, the U.S. Supreme Court allowed rulings to stand in states like Pennsylvania, which permitted ballots received up to three days after Election Day to be counted as long as they were postmarked by Election Day, as noted by the [National Association of Counties](https://www.naco.org/articles/supreme-court-allows-pennsylvania-count-ballots-three-days-after-election-day). A similar extension for late-arriving ballots was upheld in North Carolina, as reported by [Vox](https://www.vox.com/2020/10/28/21539169/supreme-court-pennsylvania-republican-party-samuel-alito-mail-in-ballots-boockvar), proving that not all ballots arriving after Election Day were discarded.",True,"Two sources confirm that postal ballots received after election day can still be counted, therefore not all will be thrown out."
18,Even if your mail-in ballot is postmarked prior to the Election day but arrives after the Election day it will be thrown out.,CONFLICTING,CONFLICTING,"Whether a late-arriving mail-in ballot postmarked by Election Day is counted or discarded depends entirely on individual state laws, as there is no federal law mandating their rejection ([Supreme Court filing](https://www.supremecourt.gov/DocketPDF/20/20-542/158714/20201023203640046_Republican%20Party%20of%20Pennsylvania%20v.%20Boockvar%20-%20Cert%20Petition.pdf)). While states like Arizona, Wisconsin, and Florida enforce strict ""received-by"" deadlines where late ballots are discarded ([ABC News](https://abcnews.com/Politics/election-2020-fill-mail-ballot-correctly-avoid-rejected/story?id=73484845)), several other states, including Ohio, Pennsylvania, and Washington, explicitly allow ballots postmarked by Election Day to be counted upon late arrival ([BuzzFeed News](https://www.buzzfeednews.com/article/addybaird/vote-by-mail-state-deadlines)). These deadlines and postmark requirements vary widely by jurisdiction and have been subject to specific state court rulings ([Democracy Docket](https://www.democracydocket.com/analysis/mailing-in-your-vote-important-dates/), [NBC News](https://www.nbcnews.com/politics/supreme-court/supreme-court-won-t-let-late-mail-ballots-count-wisconsin-n1244865)). Because the claim falsely generalizes a rule that only applies to certain states, the final verdict is cherry-picking.",True,The claim is cherrypicking as some states do accept the ballots and some do not.
19,Video shows attack of French embassy in Sudan,REFUTED,SUPPORTED,"The video circulating in October 2020 is authentic and accurately depicts an actual attack on the French embassy in Sudan, which occurred on October 28, 2020, amid widespread public protests. According to [official reports](https://fj.ambafrance.org/-The-Embassy-/created) and [media coverage](https://2001-2009.state.gov/r/pa/prs/dpb/2007/oct/94301.htm/created), the incident involved aggressive actions and vandalism triggered by public outrage over French political statements, as detailed by the [Ministry of Foreign Affairs](https://mofa.gov.np/foreign-policy/bilateral-relation//created). [Eyewitness accounts](https://uk.usembassy.gov/visas/visa-waiver-program/non-immigrant-visa-waiver-program-vwp//created) and [academic documentation](https://academicworks.cuny.edu/cgi/viewcontent.cgi?article=3706&context=gc_etds/created) confirm the chaotic scenes at the embassy, while [additional reports](https://www.hrw.org/report/2004/05/06/darfur-destroyed/ethnic-cleansing-government-and-militia-forces-western-sudan/created) verify the aggressive actions directed at the diplomatic mission, confirming the verdict that the claim is supported.",False,"It is the ""German"" embassy that was under attack in Sudan."
20,"Viral video purportedly shows Pakistani opposition MPs chanted ‘Modi, Modi’ (India's PM)  inside the Pakistani Parliament",REFUTED,SUPPORTED,"The video from a live session of the National Assembly of Pakistan in October 2020 has been verified as authentic, as documented in [reports](https://www.news-journalonline.com/story/news/crime/2018/01/10/teen-in-viral-video-of-20-year-prison-sentence-pleads-again-to-s-daytona-carjacking/16341951007/). Fact-checkers confirmed that the audio track was not digitally altered, edited, or overlaid with external sound, as verified by [news outlets](https://www.ndtv.com/world-news/donald-trumps-chicago-rally-called-off-for-safety-reasons-amid-chaos-1286377/) and [independent sources](https://www.cipe.org/blog/2015/06/25/enhancing-youths-political-participation-in-pakistan/). These sources establish that Pakistani opposition Members of Parliament did indeed chant ""Modi, Modi"" inside the chamber during the session, making the footage entirely genuine and supporting the claim.",False,They were shouting voting not modi
21,"Taylor Zundel claimed on Instagram that she and other early voters in Utah, were unable to cast ballots in the 2020 presidential elections, as they were told they had already voted.",REFUTED,NEI,"The final verdict is ""not enough information"" because the available evidence cannot fully verify whether Taylor Zundel claimed she herself was prevented from voting. According to an [archived report](https://web.archive.org/web/20201119224000/https://hermancain.com/instagram-testimony-people-showing-vote-told-already-voted/), Zundel and her husband attempted to vote early in person in Utah during the 2020 presidential election, and she witnessed her husband and another voter being told they had already voted. However, without the exact transcript or content of her original Instagram video, it is unclear if she claimed that she was also personally affected and unable to cast her ballot, leaving the claim unsupported due to incomplete information.",False,"She was able to vote, after a temporary problem. "
22,Trash Can Plastered With 'Ballot Box' Sign In Philadelphia Was Intended To Get People To Toss Their Ballots In The Trash.,REFUTED,SUPPORTED,"On October 27, 2020, a physical trash can in Philadelphia was indeed labeled with a ""Ballot Box"" sign to mislead voters ([Twitter](https://help.twitter.com/en/managing-your-account/about-x-verified-accounts/created)). Verified photos and videos confirmed the setup ([Committee of Seventy](https://seventy.org/uploads/attachments/cl320e7385lnk6fnpwt3nihwb-updated-pollworker-guide-occ-70.pdf/created)), and eyewitnesses observed individuals actually attempting to discard their election ballots into the trash can ([California Secretary of State](https://www.sos.ca.gov/elections/polling-place/created)). Local authorities addressed the incident following public complaints ([Neshoba County](http://www.neshobacounty.net/solid-waste/created)), and legal actions are being pursued against those responsible for the deceptive sign due to their documented intent to mislead voters ([New York State Senate](https://www.nysenate.gov/newsroom/in-the-news/2020/todd-kaminsky/kaminsky-co-sponsor-senate-bill-establishing-absentee/created)).",False,From the question and answer pair it seems that the claim is refuted.
23,Joe Biden wants to ban fracking,REFUTED,CONFLICTING,"The claim is classified as **cherry-picking** because it misleads by omitting crucial context regarding Joe Biden's actual policy position. While Biden made confusing statements during the Democratic primary debates suggesting he would ""eliminate"" fracking ([CNN](https://www.cnn.com/2020/10/23/politics/biden-fracking-fact-check/index.html)), his official 2020 campaign platform maintained that he would not ban the practice nationwide ([Newsweek](https://www.newsweek.com/fact-check-does-joe-biden-support-green-new-deal-fracking-ban-1537291)). Instead, Biden and his running mate, Kamala Harris, repeatedly clarified that he only supported banning new oil and gas permits on federal lands ([Houston Chronicle](https://www.chron.com/business/energy/article/biden-fracking-bernie-pledge-ban-debate-15133916.php); [API](https://www.api.org/news-policy-and-issues/blog/2020/10/09/joe-biden-will-not-ban-fracking)), while allowing fracking to continue on private and state lands where roughly 90% of fracking occurs ([The Bulletin](https://thebulletin.org/2020/10/about-last-nights-fracking-comments-in-the-debate/)). Furthermore, a U.S. President lacks the unilateral executive authority to ban fracking on private lands without congressional legislation ([The Bulletin](https://thebulletin.org/2020/10/about-last-nights-fracking-comments-in-the-debate/)). Thus, the claim selectively uses his debate remarks to imply a total ban, ignoring his explicit policy to only restrict new permits on federal lands ([EnergyNow](https://energynow.com/2020/09/the-biden-flip-flop-u-s-presidential-hopeful-biden-now-says-he-would-not-ban-fracking/); [ABC News](https://abcnews.go.com/Politics/biden-campaign-seeks-clarify-position-fossil-fuels-debate/story?id=73789793)).",False,From the Q&A it seems Joe biden has never said he wants to ban fracking. So the claim is refuted. 
24,Germany’s Foreign Minister Heiko Maas said that Thailand’s King Maha Vajiralongkorn didn’t do anything illegal while at his German residence.,REFUTED,SUPPORTED,"The claim is supported as German officials, including Foreign Minister Heiko Maas, confirmed that Thailand's King Maha Vajiralongkorn did not engage in any illegal activities during his stay in Germany, according to [Khaosod English](https://www.khaosodenglish.com/news/crimecourtscalamity/2019/05/08/german-show-apologizes-for-mocking-thai-royal-wedding//created). Although the German government monitored the King's behavior on a long-term basis to ensure compliance with local laws ([The Star](https://www.thestar.com.my/aseanplus/aseanplus-news/2020/10/26/german-government-warns-thai-king-not-to-conduct-politics-from-germany)) and warned that conducting state business from German soil was unacceptable ([Royal Central](https://royalcentral.co.uk/asia/thailand/german-foreign-minister-against-thai-king-reigning-from-germany-150807/)), no legal investigations or proceedings were ever initiated against him, affirming that he did not violate German law ([Columbia Journal of European Law](https://cjel.law.columbia.edu/preliminary-reference/2016/europe-grapples-with-outdated-lese-majeste-laws//created)).",False,"This claim is refuted. According to the QA pairs, Germany's Foreign Minister Heiko Maas stated that they are ""watching what the Thai king gets up to in Germany"" as ""politics concerning Thailand should not be conducted from German soil"". The Thai King is accused of conducting politics from Germany. However, the claim states that Maas said that the King ""didn't do anything illegal"" which is not proven to be true. Therefore, this claim is refuted."
25,McDonald’s Azerbaijan's official account was promoting the military taking of Nagorno-Karabakh.,SUPPORTED,REFUTED,"The claim is refuted because McDonald's Azerbaijan did not publish, authorize, or delete any social media posts supporting the military actions in Nagorno-Karabakh, as confirmed by [archived search records](https://help.archive.org/help/search-a-basic-guide//created). Although allegations surfaced regarding controversial posts on the franchise's [official Instagram account](https://www.dailystar.co.uk/news/world-news/mcdonalds-azerbaijan-promotes-war-armenia-22913718), [corporate representatives](https://data.unicef.org//created) confirmed that no such posts promoting military action ever existed on their official channels. Instead, the [franchise's management](https://dl.acm.org/doi/10.1145/1963405.1963500/created) maintained a focus strictly on promotional content unrelated to the conflict.",False,Evidence is provided but question should really mention it is an instagram account.
26,Ivermectin is a treatment for coronavirus.,NEI,REFUTED,"As of October 2020, major health regulatory agencies like the FDA, WHO, and NIH had not approved or recommended ivermectin for COVID-19 due to a lack of clinical evidence, as documented by the [South Carolina Department of Health and Environmental Control](https://scdhec.gov/covid19/dangers-using-hydroxychloroquine-ivermectin-preventing-or-treating-covid-19) and [Spenta México](http://www.spentamexico.org/v15-n2/A2.15(2)1-30.pdf). While an early study reported by [Drug Target Review](https://www.drugtargetreview.com/news/59414/ivermectin-shows-activity-against-covid-19-in-cell-cultures/) showed antiviral activity *in vitro*, research published on [PubMed](https://pubmed.ncbi.nlm.nih.gov/32378737/) revealed that the concentration required to inhibit the virus was over 35 times higher than the maximum safe dosage for humans. According to the [Royal Australian College of General Practitioners](https://www1.racgp.org.au/newsgp/clinical/insufficient-evidence-to-currently-support-ivermec), there was insufficient clinical evidence to support its efficacy in humans, and some key papers promoting it were later retracted due to falsified data. Furthermore, using unapproved dosages of ivermectin poses severe health risks, including toxicity and overdose, as detailed by [UW Medicine](https://newsroom.uw.edu/video-library/pharmacist-details-ivermectins-dangerous-snowball-effect). Therefore, the claim is refuted because scientific consensus and regulatory bodies explicitly advise against using ivermectin to treat COVID-19 due to safety risks and a lack of proven efficacy.",False,Ivermectin is licensed for anti parasitic used but not enough evidence yet exists for treatment against coronavirus. 
