sample_index,claim,target,predicted,justification,correct,gt_justification
10,"Donald Trump, when he thinks of climate change, he says hoax. Well, guess what? Speaking of hoaxes, remember what he said about these increasing violent hurricanes and the frequency? He actually said, maybe we should detonate a nuclear bomb over the Atlantic. By the way, the same stable genius who said the biggest problem we had in the Revolutionary War is we didn’t have enough airports.",CONFLICTING,SUPPORTED,"The evidence consistently supports each of the three substantive assertions and the character reference in the claim. Trump did repeatedly characterize climate change as a ""hoax,"" including in a [2012 tweet](https://www.pbs.org/newshour/politics/trump-says-climate-change-not-a-hoax-but-not-sure-of-its-source), before partially walking it back in 2018. He did suggest [dropping a nuclear bomb ""inside the eye of the hurricane""](https://www.businessinsider.in/trump-has-reportedly-suggested-using-nuclear-bombs-to-stop-hurricanes-from-striking-the-us-a-move-that-scientists-have-called-wacky-and-agree-wont-work/articleshow/70834740.cms) as it moves across the Atlantic, a proposal raised on multiple occasions during official White House briefings and documented in a 2017 NSC memo. He did make the [Revolutionary War airports gaffe](https://www.snopes.com/fact-check/trump-revolutionary-war-airports/) during his July 4, 2019 ""Salute to America"" speech, saying troops ""took over the airports."" And he has repeatedly [referred to himself as a ""stable genius""](https://www.usatoday.com/story/news/politics/elections/2019/07/11/trump-again-calls-himself-stable-genius/1703154001/) since first using the term in January 2018. The comedic paraphrase of the airports remark accurately captures its substance. Verdict: **supported**.",False,"There is a few too many claims in this claim, so while one is true, he did say we should detonate a nuclear bomb, i cannot confirm all are true "
11,The U.S. surgeon general and the Centers for Disease Control both previously said that ‘masks are not effective in preventing [the] general public from catching coronavirus.’,CONFLICTING,CONFLICTING,"The claim is misleading in its attribution: the specific quoted phrase—""masks are not effective in preventing [the] general public from catching coronavirus""—is a near-verbatim reproduction of [U.S. Surgeon General Jerome Adams's February 29, 2020 tweet](https://www.cnbc.com/2020/04/02/coronavirus-us-surgeon-general-asks-cdc-to-see-if-face-masks-are-effective.html), not a CDC statement. While the CDC did hold a substantively aligned position in early 2020—[a spokesperson stating that ""CDC does not recommend that people who are well wear a facemask to protect themselves from respiratory illnesses, including COVID-19""](https://www.vox.com/2020/3/31/21198132/coronavirus-covid-face-masks-n95-respirator-ppe-shortage)—the agency expressed this in different words, and Adams himself [confirmed in an April 3, 2020 press briefing](https://www.snopes.com/fact-check/surgeon-general-against-masks/) that both his office and the CDC ""originally recommended against the general public wearing masks"" because it ""was not deemed"" to have a ""significant impact"" on whether a healthy person would contract COVID-19. By early April 2020, [both reversed their guidance](https://www.cbsnews.com/news/coronavirus-surgeon-general-jerome-adams-wearing-masks-face-the-nation/) as evidence emerged about asymptomatic transmission. The claim is therefore substantively accurate but presents a Surgeon General quote as if both he and the CDC said the same thing verbatim, constituting a misleading attribution.",True,There is a 79% reduction made in certain situations. But not effective in certain other situations. 
12,New Zealand’s new Food Bill bans gardening,REFUTED,REFUTED,"The claim that New Zealand's new Food Bill bans gardening is demonstrably false. New Zealand's actual food legislation is the **Food Act 2014**, which was passed on 27 May 2014 and came into effect on 1 March 2016 (see [Wikipedia: Food Act 2014](https://en.wikipedia.org/wiki/Food_Act_2014)), not introduced in October 2020. The Act regulates commercial food safety and trade but contains no provisions prohibiting personal gardening or home cultivation. Multiple reputable news organizations, including [Stuff](https://www.stuff.co.nz/), [The Spinoff](https://thespinoff.co.nz/), [Huffington Post](https://www.huffpost.com/), and [BuzzFeed](https://www.buzzfeed.com/), have covered and debunked this assertion as a hoax or internet myth ([Know Your Meme](https://knowyourmeme.com/memes/new-zealand-gardening-law-hoax)). The false claim appears to have originated from mischaracterizations in low-credibility sources such as a [UPU postal prohibitions list](https://www.upu.int/UPU/media/upu/files/postalSolutions/programmesAndServices/postalSupplyChain/customs/prohibitedArticles/ListOfProhibitedArticles.pdf) and [accesstolaw.com](https://www.accesstolaw.com/commonwealth/new-zealand/nzlii/), and the claim itself even appears in an [ICFJ guide on fake news and disinformation](https://www.icfj.org/sites/default/files/2018-07/A%20Short%20Guide%20to%20History%20of%20Fake%20News%20and%20Disinformation_ICFJ%20Final.pdf), further confirming its status as misinformation. No specific legislative text, section, or clause supporting a gardening ban has been identified in any authoritative source.",True,The bill is not into legislation for now. I see claim as false. 
13,Wearing face masks will stop the spread of covid 19,SUPPORTED,REFUTED,"The claim is refuted because the scientific evidence consistently shows that face masks **reduce** but do not **stop** the spread of COVID-19. The WHO Director-General explicitly stated that ""[m]asks alone will not protect you from COVID-19,"" a pre-October 2020 systematic review found only modest reductions in transmission (~6% in community settings, ~19% in households), and a laboratory study by Kim et al. concluded that even fully sealed N95 masks ""were not able to completely block the transmission of virus droplets/aerosols"" ([Kim et al., 2020](https://pubmed.ncbi.nlm.nih.gov/33087517/); [systematic review](https://www.medrxiv.org/content/10.1101/2020.04.01.20049528v1)). The epidemiological literature uniformly uses language of ""reducing risk"" rather than complete prevention—a meta-analysis reported an odds ratio of 0.38 (a ~62% reduction), not elimination ([PubMed PMID 33347937](https://pubmed.ncbi.nlm.nih.gov/33347937/)). The claim's absolute language overstates the evidence. Additionally, the attribution is questionable: Yinon Weiss's article titled ""These 12 Graphs Show Mask Mandates Do Nothing to Stop COVID"" appears to refute rather than assert this position, suggesting the claim may have been misattributed or extracted as a straw-man argument from the [original Federalist article](https://thefederalist.com/2020/10/29/these-12-graphs-show-mask-mandates-do-nothing-to-stop-covid/).",False,"From the question and answer pair it does indeed seem that face masks are useful in stopping the spread of covid19. Therefore, the claim is supported."
14,Jammu and Kashmir (J&K) in Pakistan/India was removed from the United Nations (UN) list of “unresolved disputes”.,REFUTED,NEI,"The fact-check could not be completed because the Record contains no documented investigation, no Q&A, and no retrieved evidence to evaluate the Claim that Jammu and Kashmir was removed from the UN list of ""unresolved disputes."" Without any supporting or refuting evidence — such as official UN statements, Security Council resolutions, or verification of the archived source ([archive.ph/3oBfZ](https://archive.ph/3oBfZ)) — there is no factual basis to determine whether the Claim is true, false, or partially true. The verdict remains **not enough information**.",False,The answer and source show that they were never on the list so the claim is refuted.
15,"Illegal drug, border crossings, and human smuggling activities have decreased in areas where barriers are deployed in the United States.",NEI,CONFLICTING,"The claim is partially supportedby [DHS data](https://www.dhs.gov/news/2020/10/29/border-wall-system-deployed-effective-and-disrupting-criminals-and-smugglers) showing significant apprehension decreases in specific barrier sectors (e.g., 87% in FY20 vs. FY19 in areas with new border wall system, 79% in RGV Zone 1, and 60–81% in El Paso zones), but it cherry-picks this data by omitting the critical confounding factor that [Title 42 expulsions](https://www.cbp.gov/newsroom/stats/cbp-enforcement-statistics/title-8-and-title-42-statistics-fy2021) were implemented on March 21, 2020—seven months before the claim—which would independently cause dramatic decreases in border crossings regardless of barriers. The claim also extends to ""illegal drug"" and ""human smuggling"" activities, yet the available evidence primarily documents apprehension/crossing decreases, not drug trafficking or human smuggling specifically, and a [1995 GAO report](https://www.gao.gov/assets/ggd-95-30.pdf) found that decreases in barrier sectors were offset by increases in non-barrier sectors due to displacement effects, contradicting the implied narrative of overall reduction. Furthermore, [GAO reported in 2017](https://sgp.fas.org/crs/homesec/R45888.pdf) that CBP had not developed systematic metrics to assess border fencing's contribution to its mission, leaving the claim's specific causal attribution unsubstantiated.",False,"15 miles of new barriers seems unlikely to account for the halving of illegal crossing from 2019 to 2020. Particularly as 2019 is the outlier in the period 2018 to 2020.

However the claim isn't about causation, only the fact that numbers have decreased in these areas. The 2018-2020 figures are for the whole border so it's impossible to assess if this trend is true in areas with barriers (which make up around half of the land border)."
16,The plentiful evidence we have indicates that masks would not meaningfully help with aerosol transmission of COVID 19.,REFUTED,REFUTED,"The claim that ""plentiful evidence"" shows masks do not meaningfully help against aerosol transmission of COVID-19 is refuted by the available evidence. At the time of the claim (October 2020), the [WHO and CDC](https://www.jointcommission.org/-/media/tjc/documents/covid19/universal-masking-statement-04232020.pdf/created) characterized the evidence on aerosol transmission as ""insufficient"" rather than concluding masks were ineffective, and they actively recommended masks. Peer-reviewed [NIST laboratory research](https://www.nist.gov/news-events/news/2020/06/face-coverings-made-layered-cotton-fabric-likely-slow-spread-covid-19) demonstrated that certain multi-layered cotton fabrics could block a meaningful percentage of particles in the SARS-CoV-2 size range (~110 nm), and N95 respirators are specifically engineered to filter ≥95% of airborne particles. Real-world epidemiological studies, including [Lyu & Wehby (2020)](https://pubmed.ncbi.nlm.nih.gov/32543923/), found mask mandates were associated with significant declines in COVID-19 growth rates, estimating over 200,000 cases were averted by May 2020. No major scientific institution had concluded masks were ineffective against aerosol transmission. The claim also improperly generalizes across mask types without acknowledging the critical distinction between cloth, surgical, and N95 respirators. The claim's author, Yinon Weiss, has a background in [military and business](https://www.linkedin.com/in/yweiss), with no credentials in epidemiology, virology, or public health. The assertion of ""plentiful evidence"" demonstrating mask ineffectiveness is contradicted by laboratory data, real-world studies, and the positions of major health organizations.",True,"Evidence finds that surgical face masks could prevent transmission of human coronaviruses and influenza viruses from symptomatic individuals. The CDC and the World Health Organization (WHO), at the time of the claim, also recommended cloth masks for the general public."
17,All USA Ballots Arriving After Election Day Will Be Thrown Out,REFUTED,CONFLICTING,"Eric Holder's claim that ""all USA ballots arriving after Election Day will be thrown out"" is false and constitutes cherry-picking. U.S. election administration is decentralized, with each state setting its own rules, and numerous states—including California, Illinois, Maryland, Pennsylvania, and Washington—explicitly allowed mail-in/absentee ballots postmarked on or before Election Day to be received and counted days or even weeks afterward, as documented by [FiveThirtyEight](https://fivethirtyeight.com/features/why-were-planning-for-an-election-day-that-could-last-months/), [CBS News](https://www.cbsnews.com/pictures/how-to-vote-by-mail-in-every-state-and-u-s-territory/), and the [Chicago Board of Elections](https://chicagoelections.gov/voting/vote-mail). The U.S. Supreme Court reinforced this variability by issuing a 4-4 decision allowing Pennsylvania to count ballots received up to three days after Election Day ([NACo](https://www.naco.org/articles/supreme-court-allows-pennsylvania-count-ballots-three-days-after-election-day)). While it is true that many states required ballots to be received by Election Day, Holder's sweeping, unqualified assertion omits these significant state-level exceptions, presenting a partial truth as if it applied universally to all ballots across all states.",False,"Two sources confirm that postal ballots received after election day can still be counted, therefore not all will be thrown out."
18,Even if your mail-in ballot is postmarked prior to the Election day but arrives after the Election day it will be thrown out.,CONFLICTING,CONFLICTING,"The claim is a **cherry-picking** distortion. While it is technically true for states using a strict ""received by Election Day"" deadline—such as [Wisconsin](https://www.nbcnews.com/politics/supreme-court/supreme-court-won-t-let-late-mail-ballots-count-wisconsin-n1244865) and Michigan—several other states, including [Pennsylvania](https://www.usatoday.com/story/news/politics/2020/10/19/supreme-court-allows-penn-count-ballots-received-up-nov-6/5899677002/), [California](https://www.democracydocket.com/analysis/mailing-in-your-vote-important-dates/), and Maryland, used ""postmarked by"" deadlines that explicitly allowed ballots postmarked on or before Election Day to be counted even if they arrived days or weeks afterward (e.g., Pennsylvania accepted ballots up to 3 days after, California up to 17 days). The U.S. Supreme Court even issued a 4-4 ruling in October 2020 that left Pennsylvania's extended receipt deadline intact. By omitting this critical state-by-state variation, the claim falsely implies that *all* such ballots nationwide would be discarded, which was demonstrably not the case.",True,The claim is cherrypicking as some states do accept the ballots and some do not.
19,Video shows attack of French embassy in Sudan,REFUTED,REFUTED,"The video does not show an attack on the French embassy in Sudan; it is actually footage from the **September 14, 2012 attacks** on the **British and German embassies** in Khartoum, which were part of broader anti-film protests across the Muslim world, as documented by [France24](https://www.france24.com/en/20120914-britain-germany-sudan-embassies-targeted-protests-anti-islam-film-usa-egypt-libya). While a real attack on the French embassy in Khartoum did occur on October 28, 2020 (reported by [Al Jazeera, France24, Reuters, and AFP](https://www.britannica.com/event/1983-United-States-embassy-bombing/created)), the specific video being shared is old 2012 footage that was misattributed, a finding consistent with the [BoomLive fact-check](https://www.boomlive.in/fake-news/2012-embassy-attacks-in-sudan-falsely-shared-as-attack-on-french-embassy-10392) and confirmed via reverse video searches identifying it as the ""2012 Sudan embassy attack video."" The French embassy was not among the embassies targeted in the 2012 attacks, making the claim **refuted**.",True,"It is the ""German"" embassy that was under attack in Sudan."
20,"Viral video purportedly shows Pakistani opposition MPs chanted ‘Modi, Modi’ (India's PM)  inside the Pakistani Parliament",REFUTED,REFUTED,"The most methodologically rigorous investigation, conducted by [facthunt.in](https://facthunt.in/posts/1484), cross-referenced the viral clip with the original, longer footage of the October 26, 2020 National Assembly session available on the Dunya News YouTube channel and corroborated its findings with a [Dawn newspaper](https://www.dawn.com/) report, concluding that the MPs were actually chanting ""voting-voting"" (demanding a vote during the chaotic session) rather than ""Modi-Modi."" This directly refutes the core assertion of the claim. While other sources, such as [The Wire](https://thewire.in/media/amit-malviya-bjp-fake-news/) and [NDTV](https://archives.ndtv.com/articles/2013-01.html), appeared to confirm the ""Modi, Modi"" interpretation, they largely restated the viral claim rather than independently verifying it against primary source footage, making the facthunt.in finding the more credible and evidence-based conclusion.",True,They were shouting voting not modi
21,"Taylor Zundel claimed on Instagram that she and other early voters in Utah, were unable to cast ballots in the 2020 presidential elections, as they were told they had already voted.",REFUTED,CONFLICTING,"The fact-check confirmed that Taylor Zundel did post an Instagram video around October 27, 2020, about an incident during early voting in Utah, but a key detail in her claim was misleading: according to the [archived Herman Cain article](https://web.archive.org/web/20201119224000/https://hermancain.com/instagram-testimony-people-showing-vote-already-voted/), it was her **husband** and at least one other voter who were told they had already voted — not Zundel herself, who merely witnessed the event. Additionally, no official evidence of voter fraud was found; the source, a politically conservative blog, characterized the situation as either ""bureaucratic incompetence... or fraud"" without confirming either, and there is no independent verification from official Utah election records or mainstream news outlets to substantiate the specific incident. The verdict is **cherry-picking** because the claim misleadingly implies Zundel was personally affected when she was only a witness.",False,"She was able to vote, after a temporary problem. "
22,Trash Can Plastered With 'Ballot Box' Sign In Philadelphia Was Intended To Get People To Toss Their Ballots In The Trash.,REFUTED,SUPPORTED,"
Multiple sources confirm that a trash can in Philadelphia was deliberately marked with a ""Ballot Box"" sign in October 2020 and placed near an official ballot drop box, as documented by the [Philadelphia city government voting website](https://vote.phila.gov/ballot-drop-off//created). Philadelphia election officials explicitly characterized the sign as ""a deliberate attempt to mislead voters into discarding ballots,"" and [FactCheck.org](https://www.factcheck.org/2020/10/in-pennsylvania-rallies-trump-distorts-voting-issues//created) reported the incident was referred to the District Attorney and election board for investigation. This official characterization directly aligns with the claim that the trash can sign was intended to get people to toss their ballots in the trash.",False,From the question and answer pair it seems that the claim is refuted.
23,Joe Biden wants to ban fracking,REFUTED,CONFLICTING,"The claim that ""Joe Biden wants to ban fracking"" is based on cherry-picked statements from his 2019 and early 2020 Democratic primary debates—including a July 2019 remark about eliminating fossil fuels and a March 2020 comment about ""no new fracking""—but it ignores substantial and critical context that significantly changes the picture. During the general election, Biden explicitly and repeatedly stated, ""I am not banning fracking. Let me say that again. I am not banning fracking,"" as reported by [Energy Now](https://energynow.com/2020/09/the-biden-flip-flop-u-s-presidential-hopeful-biden-now-says-he-would-not-ban-fracking/) and [CNN](https://www.cnn.com/2020/10/23/politics/biden-fracking-fact-check/index.html), and his actual 2020 campaign platform focused on measures like methane pollution limits and restrictions on new federal-land drilling rather than a complete ban. Furthermore, as [Bloomberg](https://www.bloomberg.com/news/articles/2020-10-21/here-s-why-biden-couldn-t-ban-fracking-but-could-restrict-it) noted, a president lacks the legal authority to unilaterally ban fracking on private and state lands, making the claim not only selectively sourced—per [AP News](https://apnews.com/article/election-2020-joe-biden-donald-trump-pennsylvania-elections-c28fbf9d921915f3a65c01e6c4cebcf6)—but also misleading about both Biden's actual policy positions and presidential powers.",False,From the Q&A it seems Joe biden has never said he wants to ban fracking. So the claim is refuted. 
